Date,Item,Qty,Amount,,,,,
"December 2, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 2, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 2, 2022",Leamon Tea,1.00,₹15.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Leamon Tea,1.00,₹15.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Combo 181,1.00,₹181.00,,,,,
"December 2, 2022",Veg Sandwich,1.00,₹40.00,,,,,
"December 2, 2022",Blue Curacoa,1.00,₹60.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Samosa,1.00,₹10.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Tea,4.00,₹40.00,,,,,
"December 2, 2022",Samosa,5.00,₹50.00,,,,,
"December 2, 2022",Tea,2.00,₹20.00,,,,,
"December 2, 2022",Chessey Chicken ,1.00,₹110.00,,,,,
"December 2, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Chessey Bread Omlet,2.00,₹80.00,,,,,
"December 2, 2022",Veg Cheese Sanwhich,1.00,₹60.00,,,,,
"December 2, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 2, 2022",Combo 161,1.00,₹161.00,,,,,
"December 2, 2022",Lime Mint,1.00,₹60.00,,,,,
"December 2, 2022",Butter Stoch Mojio,1.00,₹70.00,,,,,
"December 2, 2022",Bread Omlet,2.00,₹80.00,,,,,
"December 2, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Veg Sandwich,1.00,₹40.00,,,,,
"December 2, 2022",French Fry,1.00,₹50.00,,,,,
"December 2, 2022",Leamon Soda,1.00,₹30.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Samosa,1.00,₹10.00,,,,,
"December 2, 2022",French Fry,1.00,₹50.00,,,,,
"December 2, 2022",Choco Milk,1.00,₹30.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",French Fry,2.00,₹100.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Tea,2.00,₹20.00,,,,,
"December 2, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 2, 2022",Sandwhich (Plane),1.00,₹40.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Sweet Lime,1.00,₹40.00,,,,,
"December 2, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 2, 2022",Milk,2.00,₹40.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Veg Burger,2.00,₹140.00,,,,,
"December 2, 2022",Coffee,2.00,₹40.00,,,,,
"December 2, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 2, 2022",Chicken Nuggtes,1.00,₹85.00,,,,,
"December 2, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 2, 2022",French Fry,1.00,₹50.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Badam Milk,1.00,₹30.00,,,,,
"December 2, 2022",French Fry,2.00,₹100.00,,,,,
"December 2, 2022",Panner Cheese,2.00,₹170.00,,,,,
"December 2, 2022",Veg Sandwhich,2.00,₹90.00,,,,,
"December 2, 2022",French Fry,1.00,₹50.00,,,,,
"December 2, 2022",Smilie,1.00,₹70.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 2, 2022",Sweet Lime,1.00,₹40.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",French Fry,2.00,₹100.00,,,,,
"December 2, 2022",Leamon Soda,1.00,₹30.00,,,,,
"December 2, 2022",Plain Moji,3.00,₹120.00,,,,,
"December 2, 2022",Samosa,2.00,₹20.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 2, 2022",Sweet Milk,1.00,₹20.00,,,,,
"December 2, 2022",Samosa,3.00,₹30.00,,,,,
"December 2, 2022",Chessey Chicken Burger,1.00,₹115.00,,,,,
"December 2, 2022",Veg Burger,2.00,₹140.00,,,,,
"December 2, 2022",Chessey Veg Burger,1.00,₹130.00,,,,,
"December 2, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,2.00,₹20.00,,,,,
"December 3, 2022",American Chilly Chicken,1.00,₹205.00,,,,,
"December 3, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 3, 2022",Veg Burger,2.00,₹140.00,,,,,
"December 3, 2022",Coffee,1.00,₹20.00,,,,,
"December 3, 2022",Tea,3.00,₹30.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Egg Maggie,1.00,₹50.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Veg Burger,2.00,₹140.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Leamon Juice,1.00,₹30.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Tea,2.00,₹20.00,,,,,
"December 3, 2022",Samosa,2.00,₹20.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 3, 2022",Promogenrate Juice,1.00,₹60.00,,,,,
"December 3, 2022",Coffee,4.00,₹80.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Samosa,7.00,₹70.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Samosa,2.00,₹20.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Egg Maggie,1.00,₹50.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Egg Maggie,1.00,₹50.00,,,,,
"December 3, 2022",Panner Cheese,1.00,₹85.00,,,,,
"December 3, 2022",Samosa,3.00,₹30.00,,,,,
"December 3, 2022",Pepsi,1.00,₹25.00,,,,,
"December 3, 2022",Spicy Veg Maggie,1.00,₹45.00,,,,,
"December 3, 2022",Samosa,4.00,₹40.00,,,,,
"December 3, 2022",Coffee,2.00,₹40.00,,,,,
"December 3, 2022",Coffee,1.00,₹20.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Samosa,1.00,₹10.00,,,,,
"December 3, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 3, 2022",Chessey Chicken Burger,1.00,₹115.00,,,,,
"December 3, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 3, 2022",Samosa,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Samosa,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Samosa,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",leamon Soda,2.00,₹60.00,,,,,
"December 3, 2022",Chessey Veg Burger,2.00,₹260.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Tea,1.00,₹10.00,,,,,
"December 3, 2022",Samosa,3.00,₹30.00,,,,,
"December 3, 2022",Tea,2.00,₹20.00,,,,,
"December 3, 2022",Black Tea,1.00,₹15.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Samosa,1.00,₹10.00,,,,,
"December 3, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 3, 2022",Tea,3.00,₹30.00,,,,,
"December 3, 2022",leamon Tea,5.00,₹75.00,,,,,
"December 3, 2022",Chessey Veg Burger,2.00,₹260.00,,,,,
"December 3, 2022",Pepsi,1.00,₹25.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 3, 2022",Veg Sandwhich,4.00,₹180.00,,,,,
"December 3, 2022",Spicy Chicken Burger,2.00,₹200.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",Spicy Chicken Burger,2.00,₹200.00,,,,,
"December 3, 2022",Black Current,1.00,₹70.00,,,,,
"December 3, 2022",Butter Stoch,1.00,₹100.00,,,,,
"December 3, 2022",Chessey Chicken Burger,1.00,₹115.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Smilie,1.00,₹70.00,,,,,
"December 3, 2022",Jumbo Panner Chessy,1.00,₹180.00,,,,,
"December 3, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 3, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 3, 2022",French Fry,1.00,₹50.00,,,,,
"December 3, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Milk,1.00,₹20.00,,,,,
"December 4, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 4, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",leamon Tea,2.00,₹30.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",French Fry,1.00,₹50.00,,,,,
"December 4, 2022",Patato Cheese,1.00,₹60.00,,,,,
"December 4, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 4, 2022",Chesse Maggie,1.00,₹76.00,,,,,
"December 4, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 4, 2022",Choco Milk,1.00,₹30.00,,,,,
"December 4, 2022",Samosa,4.00,₹40.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",French Fry,1.00,₹50.00,,,,,
"December 4, 2022",Sweet Lime,1.00,₹40.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Samosa,1.00,₹10.00,,,,,
"December 4, 2022",Chicken Nuggets,1.00,₹80.00,,,,,
"December 4, 2022",Samosa,2.00,₹20.00,,,,,
"December 4, 2022",Samosa,4.00,₹40.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 4, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 4, 2022",Ginger Tea,2.00,₹40.00,,,,,
"December 4, 2022",Samosa,2.00,₹20.00,,,,,
"December 4, 2022",Paneer Cheese,1.00,₹80.00,,,,,
"December 4, 2022",Chessey Chicken Burger,1.00,₹115.00,,,,,
"December 4, 2022",Veg Burger,1.00,₹70.00,,,,,
"December 4, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 4, 2022",French Fry,1.00,₹50.00,,,,,
"December 4, 2022",Veg Sandwhich,2.00,₹90.00,,,,,
"December 4, 2022",Samosa,1.00,₹10.00,,,,,
"December 4, 2022",Chicken Nuggets,1.00,₹80.00,,,,,
"December 4, 2022",leamon Soda,2.00,₹60.00,,,,,
"December 4, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 4, 2022",Coffee,1.00,₹20.00,,,,,
"December 4, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 4, 2022",French Fry,1.00,₹50.00,,,,,
"December 4, 2022",Samosa,2.00,₹20.00,,,,,
"December 4, 2022",Bread Omlet,2.00,₹80.00,,,,,
"December 4, 2022",Tea,2.00,₹20.00,,,,,
"December 4, 2022",Chessy Bread Omlet,2.00,₹80.00,,,,,
"December 4, 2022",Egg Maggie,1.00,₹50.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Paneer Cheese,1.00,₹80.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Samosa,2.00,₹20.00,,,,,
"December 4, 2022",Samosa,1.00,₹10.00,,,,,
"December 4, 2022",Tea,2.00,₹20.00,,,,,
"December 4, 2022",Chicken Cheese Ball,1.00,₹85.00,,,,,
"December 4, 2022",Egg Maggie,1.00,₹50.00,,,,,
"December 4, 2022",Chicken Cheese Ball,1.00,₹85.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Tea,2.00,₹20.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",Veg Sandwhich,2.00,₹90.00,,,,,
"December 4, 2022",Chessey Chicken Burger,2.00,₹230.00,,,,,
"December 4, 2022",French Fry,2.00,₹100.00,,,,,
"December 4, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 4, 2022",Panner Bread Omlete,3.00,₹150.00,,,,,
"December 4, 2022",Samosa,4.00,₹40.00,,,,,
"December 4, 2022",Bread Omlet,2.00,₹80.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 4, 2022",French Fry,2.00,₹100.00,,,,,
"December 4, 2022",French Fry,3.00,₹150.00,,,,,
"December 4, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 4, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Coffee,2.00,₹40.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Samosa,4.00,₹40.00,,,,,
"December 5, 2022",Tea,5.00,₹50.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Samosa,2.00,₹20.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Samosa,1.00,₹10.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 5, 2022",Samosa,6.00,₹60.00,,,,,
"December 5, 2022",Tea,3.00,₹30.00,,,,,
"December 5, 2022",Dry Fruit Faulda,2.00,₹230.00,,,,,
"December 5, 2022",Royal Faulda,1.00,₹150.00,,,,,
"December 5, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 5, 2022",Chessy Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 5, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",leamon Tea,1.00,₹15.00,,,,,
"December 5, 2022",Veg Burger,2.00,₹140.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Veg sandwhich,1.00,₹45.00,,,,,
"December 5, 2022",Maggie,1.00,₹40.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",French Fry,1.00,₹50.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Samosa,2.00,₹20.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,4.00,₹40.00,,,,,
"December 5, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 5, 2022",French Fry,3.00,₹150.00,,,,,
"December 5, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Samosa,2.00,₹20.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Samosa,6.00,₹60.00,,,,,
"December 5, 2022",French Fry,1.00,₹50.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Samosa,2.00,₹20.00,,,,,
"December 5, 2022",Samosa,1.00,₹10.00,,,,,
"December 5, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 5, 2022",Chessey Veg Burger,1.00,₹130.00,,,,,
"December 5, 2022",Spicy Veg Burger,1.00,₹80.00,,,,,
"December 5, 2022",Samosa,1.00,₹10.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Coffee,2.00,₹40.00,,,,,
"December 5, 2022",Spicy Chicken,1.00,₹105.00,,,,,
"December 5, 2022",Pepsi,1.00,₹25.00,,,,,
"December 5, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 5, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Samosa,1.00,₹10.00,,,,,
"December 5, 2022",Peri Peri Chicken Fry,1.00,₹95.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 5, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 5, 2022",Tea,1.00,₹10.00,,,,,
"December 5, 2022",Spicy Chicken,1.00,₹105.00,,,,,
"December 5, 2022",American Chilly Chicken,1.00,₹205.00,,,,,
"December 5, 2022",Strawbreey Faulda,1.00,₹90.00,,,,,
"December 5, 2022",French Fry,2.00,₹100.00,,,,,
"December 5, 2022",Tea,2.00,₹20.00,,,,,
"December 5, 2022",Tea,3.00,₹30.00,,,,,
"December 6, 2022",Tea,5.00,₹50.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Veg Cheese Sanwhich,1.00,₹60.00,,,,,
"December 6, 2022",Coffee,2.00,₹40.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Samosa,1.00,₹10.00,,,,,
"December 6, 2022",Combo 181,1.00,₹181.00,,,,,
"December 6, 2022",Combo 111,1.00,₹111.00,,,,,
"December 6, 2022",Combo 161,1.00,₹161.00,,,,,
"December 6, 2022",Apple Juice,1.00,₹60.00,,,,,
"December 6, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",Samosa,3.00,₹30.00,,,,,
"December 6, 2022",Ginger Tea,3.00,₹60.00,,,,,
"December 6, 2022",Spicy Veg Maggie,1.00,₹45.00,,,,,
"December 6, 2022",Spicy Veg Maggie,1.00,₹45.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",Tea,2.00,₹20.00,,,,,
"December 6, 2022",Tea,3.00,₹30.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",Tea,2.00,₹20.00,,,,,
"December 6, 2022",Veg Cheese Sanwhich,2.00,₹120.00,,,,,
"December 6, 2022",French Fry,2.00,₹100.00,,,,,
"December 6, 2022",Samosa,3.00,₹30.00,,,,,
"December 6, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 6, 2022",Ginger Tea,1.00,₹20.00,,,,,
"December 6, 2022",Chicken Chesse Sandwhich,1.00,₹110.00,,,,,
"December 6, 2022",Leamon Tea,1.00,₹15.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Dry Fruit Faulda,2.00,₹230.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",Spicy Chicken Burger,1.00,₹100.00,,,,,
"December 6, 2022",Samosa,2.00,₹20.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Samosa,1.00,₹10.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 6, 2022",Samosa,1.00,₹10.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",veg Burger,1.00,₹70.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",Tea,2.00,₹20.00,,,,,
"December 6, 2022",Spicy Panner,1.00,₹55.00,,,,,
"December 6, 2022",Tea,2.00,₹20.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",Peri Peri Chicken Fry,1.00,₹95.00,,,,,
"December 6, 2022",Combo 111,1.00,₹111.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",Combo 111,1.00,₹111.00,,,,,
"December 6, 2022",Tea,1.00,₹10.00,,,,,
"December 6, 2022",Veg Sandwhich,1.00,₹45.00,,,,,
"December 6, 2022",Tea,2.00,₹20.00,,,,,
"December 6, 2022",Crunchy Chicken,1.00,₹80.00,,,,,
"December 6, 2022",French Fry,1.00,₹50.00,,,,,
"December 6, 2022",Bread Omlet,1.00,₹40.00,,,,,
"December 6, 2022",Tea,4.00,₹40.00,,,,,
"December 7, 2022",Tea,1.00,₹10.00,,,,,
"December 7, 2022",Tea,1.00,₹10.00,,,,,
"December 7, 2022",Tea,1.00,₹10.00,,,,,
"December 7, 2022",Tea,1.00,₹10.00,,,,,
"December 7, 2022",Apple Juice,2.00,₹120.00,,,,,
